,angle
0,97.5691042434607
1,97.5691042434607
2,97.5691042434607
3,98.05067005736457
4,98.05067005736457
5,98.05067005736457
6,98.38340856097614
7,98.38340856097614
8,98.38340856097614
9,98.7782829242886
10,98.7782829242886
11,98.7782829242886
12,99.05690261649673
13,99.05690261649673
14,99.05690261649673
15,101.02720625486323
16,101.02720625486323
17,101.02720625486323
18,99.89780161706271
19,99.89780161706271
20,99.89780161706271
21,101.09770811116935
22,101.09770811116935
23,101.09770811116935
24,101.99859096147826
25,101.99859096147826
26,101.99859096147826
27,102.38812631893747
28,102.38812631893747
29,102.38812631893747
30,104.26969552057838
31,104.26969552057838
32,104.26969552057838
33,104.18510960218829
34,104.18510960218829
35,104.18510960218829
36,104.4088745283099
37,104.4088745283099
38,104.4088745283099
39,104.5709567540589
40,104.5709567540589
41,104.5709567540589
42,105.62676855857993
43,105.62676855857993
44,105.62676855857993
45,104.5964331853069
46,104.5964331853069
47,104.5964331853069
48,105.90604530503904
49,105.90604530503904
50,105.90604530503904
51,107.06667835424463
52,107.06667835424463
53,107.06667835424463
54,105.99665663916592
55,105.99665663916592
56,105.99665663916592
57,105.90860030426248
58,105.90860030426248
59,105.90860030426248
60,106.72456412465193
61,106.72456412465193
62,106.72456412465193
63,107.15748740269936
64,107.15748740269936
65,107.15748740269936
66,107.36770021119952
67,107.36770021119952
68,107.36770021119952
69,105.97392691595613
70,105.97392691595613
71,105.97392691595613
72,107.21527515244499
73,107.21527515244499
74,107.21527515244499
75,107.35582774248134
76,107.35582774248134
77,107.35582774248134
78,107.54022534259072
79,107.54022534259072
80,107.54022534259072
81,107.82510952515344
82,107.82510952515344
83,107.82510952515344
84,107.93046465589086
85,107.93046465589086
86,107.93046465589086
87,107.21204965104302
88,107.21204965104302
89,107.21204965104302
90,106.45145545949624
91,106.45145545949624
92,106.45145545949624
93,105.27943588679025
94,105.27943588679025
95,105.27943588679025
96,104.27682463958337
97,104.27682463958337
98,104.27682463958337
99,103.74708186813079
100,103.74708186813079
101,103.74708186813079
102,103.46321586709125
103,103.46321586709125
104,103.46321586709125
105,103.31900194904462
106,103.31900194904462
107,103.31900194904462
108,103.25224777367988
109,103.25224777367988
110,103.25224777367988
111,103.23477194752239
112,103.23477194752239
113,103.23477194752239
114,103.2501764557025
115,103.2501764557025
116,103.2501764557025
117,103.30424246487858
118,103.30424246487858
119,103.30424246487858
120,103.35087291188137
121,103.35087291188137
122,103.35087291188137
123,103.2814050626913
124,103.2814050626913
125,103.2814050626913
126,103.13717138905712
127,103.13717138905712
128,103.13717138905712
129,102.92182456310468
130,102.92182456310468
131,102.92182456310468
132,102.7833739623749
133,102.7833739623749
134,102.7833739623749
135,102.52147597740189
136,102.52147597740189
137,102.52147597740189
138,102.37613571149744
139,102.37613571149744
140,102.37613571149744
141,102.19724701616238
142,102.19724701616238
