,angle
0,131.30190535983212
1,131.3106691668238
2,131.28241278164703
3,131.30072767885747
4,131.3080021261021
5,131.31854362498808
6,131.30601329749874
7,131.33752035109302
8,131.3292384597854
9,131.3300873744857
10,131.32666920720897
11,131.3183826343016
12,131.31949021270583
13,131.31250508319988
14,131.34959255581728
15,131.32101295346305
16,131.31458447918558
17,131.30741641550597
18,131.32286437348804
19,131.32280063004546
20,131.33075402399103
21,131.33202243388655
22,131.284454426156
23,131.30801100064488
24,131.28094218467191
25,131.30619987461708
26,131.2857423686436
27,131.2754739430634
28,131.2741713200148
29,131.27685289205047
30,131.2735313947958
31,131.33817182853545
32,131.32029857461524
33,131.3233268401535
34,131.3117229017877
35,131.30445767944133
36,131.33451741147226
37,131.320561181632
38,131.34297984521166
39,131.33350551685004
40,131.32441781139912
41,131.33114854243243
42,131.27917065978542
43,131.32538820754425
44,131.32829484163167
45,131.34410288495087
46,131.29656024997126
47,131.30083285157818
48,131.2921415850754
49,131.29384838842748
50,131.29306266501942
51,131.29408850414393
52,131.29315845354967
53,131.3273429256945
54,131.3407392665099
55,131.34088624203346
56,131.33460205024568
57,131.3199699208246
58,131.33863029657078
59,131.34098501857275
60,131.34638312221387
61,131.33981036227192
62,131.33740863564677
63,131.34684327143995
64,131.34131209362755
65,131.33789239682406
66,131.3291396332944
67,131.33928387769882
68,131.34201391846614
69,131.34745428126632
70,131.33748098722847
71,131.3367802680617
72,131.31975376753041
73,131.33829451405535
74,131.3357256460981
75,131.33480505309353
76,131.34674972255152
77,131.336672839298
78,131.33893430491395
79,131.3438593289506
80,131.34865889713805
81,131.35627605493548
82,131.28440238730053
83,131.28415587828474
84,131.32944593862535
85,131.29203211515357
86,131.27416569260077
87,131.2858029379081
88,131.26704760876555
89,131.31967859443637
90,131.2648309722764
91,131.27499866746027
92,131.32045026430438
93,131.266672151027
94,131.30065105096443
95,131.31183568057213
96,131.30129242120088
97,131.30159327071095
98,131.3038262140736
99,131.2550774567955
100,131.30049889110276
101,131.30133989407042
102,131.26511700334936
103,131.30015841050553
104,131.2960831003677
105,131.30999766933496
106,131.28171252061645
107,131.2467410428313
108,131.3071850669311
109,131.25479707449242
