,angle
0,100.10787704706033
1,100.1253425715017
2,100.13276200689157
3,100.12314814781391
4,100.09981068493299
5,100.12251511231953
6,100.12651288024405
7,100.10617237112027
8,100.0979192915073
9,100.11425678596895
10,100.11514751920704
11,100.10383306631533
12,100.09504742952653
13,100.10008952577041
14,100.12354198109642
15,100.10288189743832
16,100.0948835509165
17,100.1145650087912
18,100.11878072088608
19,100.12908032230891
20,100.11229103558725
21,100.1267367297777
22,100.13922049716027
23,100.13589784654818
24,100.1276935484089
25,100.1501631109059
26,100.15171427811346
27,100.15000183155254
28,100.1395066463591
29,100.13969331642198
30,100.14708087910587
31,100.14371838536444
32,100.13569037111681
33,100.14330288595048
34,100.14739797162359
35,100.1329300347599
36,100.13150193258463
37,100.1398746669232
38,100.15175422351486
39,100.14552547955824
40,100.1316969181524
41,100.14401195227246
42,100.14533536794538
43,100.1460487945959
44,100.14568950017735
45,100.15700432202269
46,100.1498619729824
47,100.15439143800577
48,100.1320317520883
49,100.14141127592205
50,100.1515418352913
51,100.143701488452
52,100.1254571144324
53,100.13755925430034
54,100.14741911920177
55,100.133891042994
56,100.13141347818147
57,100.14207927448861
58,100.1289484181169
59,100.12945921750283
60,100.1202419972005
61,100.12230302837423
62,100.12332582920948
63,100.12197815549878
64,100.1134028580955
65,100.12115430881423
66,100.1244784242301
67,100.11889211918246
68,100.10580412953203
69,100.11080817980016
70,100.11810567340011
71,100.1154852540763
72,100.09714814939981
73,100.11476719280782
74,100.11838272697618
75,100.11614846126109
76,100.10189845858594
77,100.11370949384218
78,100.11895384792484
79,100.10801400864241
80,100.09804266601645
81,100.10338246824908
82,100.1077918365103
83,100.10388046559754
84,100.08618530733486
85,100.09888085288016
86,100.09683991831989
87,100.09465179672152
88,100.0835961713113
89,100.09327604114151
90,100.0939309911778
91,100.08804732942146
92,100.08479838827824
93,100.09275151332024
94,100.10291673324676
95,100.09093501408614
96,100.09302877145514
97,100.09956212723014
98,100.10038091528611
99,100.10519890318253
100,100.08482835598292
101,100.10607426829075
102,100.10318174600567
103,100.10561787479982
104,100.08934522928178
105,100.1008429111968
106,100.0948736149245
107,100.09120566606491
108,100.08707887560367
109,100.091709339262
110,100.08815033420119
111,100.08381016885518
112,100.0914683840462
113,100.08429683041786
114,100.09303842275615
115,100.09485213127275
116,100.07784252856928
117,100.08321024032826
118,100.07999019350457
119,100.0788357722141
120,100.06091395673519
121,100.07667449098749
122,100.0689786559754
123,100.07028219827626
124,100.06217213924727
125,100.07424649826878
126,100.07104931491342
127,100.0764620527343
128,100.04966777639007
129,100.06037099373196
130,100.0809925621883
131,100.05983230949322
132,100.0463354397997
133,100.07454013993375
134,100.06946519774375
135,100.06805086078104
136,100.08765272687222
137,100.09812404673075
138,100.13195922202681
139,100.11204458811552
140,100.09652445273288
141,100.13350433654806
142,100.12814049379686
143,100.13264198768174
144,100.12392901626959
145,100.12933354228552
146,100.1038042511241
147,100.10790040236793
148,100.1159647702753
149,100.09422940101064
150,100.11399764397022
151,100.10757435655188
152,100.10042750381609
153,100.08616753846488
154,100.13580665567963
155,100.14179305319333
156,100.11668157859293
157,100.12889919387936
158,100.13697403161387
159,100.11645893450216
160,100.10383444742628
161,100.11382622468011
162,100.12550691045621
163,100.12416395853703
164,100.09994082151559
165,100.11081515479185
166,100.10654464068044
167,100.10020177946363
168,100.0833176021603
169,100.08405633186173
170,100.09583323617694
171,100.09863312530962
172,100.07815845214455
173,100.09698158087494
174,100.09502836776713
175,100.10456007586376
176,100.08363154783848
177,100.06726344785075
178,100.1068412096474
179,100.07369727706332
180,100.10590754280605
181,100.10940660183759
182,100.10614465726462
183,100.11031468305629
184,100.06560363164188
185,100.08026581315431
186,100.10069426593253
187,100.0752266100377
188,100.09467106893206
189,100.0752433880841
190,100.07352231866858
191,100.06790884272189
192,100.07925701445502
193,100.0795094620193
194,100.07946998369101
195,100.08710026995044
196,100.07235568448
197,100.0814512260087
198,100.08603180052546
199,100.0788186478956
200,100.06646073978787
201,100.06074829096399
202,100.08441209767739
203,100.05203294049797
204,100.03566348820118
205,100.06054286491847
206,100.06631215336495
207,100.06780787526597
208,100.04748880984918
209,100.0652808649342
210,100.08315936529982
211,100.07001054679233
212,100.07092723202977
213,100.08458051023545
214,100.08238363651414
215,100.13702487501826
216,100.08472131076316
217,100.1110322744363
218,100.1383450167034
219,100.14986908981412
220,100.09275474500306
221,100.13907287723042
222,100.13651809264724
223,100.14582404894647
224,100.09128755485722
225,100.13776429021537
226,100.10060122949194
227,100.14557088971394
228,100.08877093119992
229,100.09361970330119
230,100.1372117762809
231,100.10194166441639
232,100.08376288402751
233,100.13321290381838
234,100.1331062400227
235,100.09983150374278
236,100.12669564553607
237,100.13958053100886
238,100.11494832252315
239,100.14529758208026
240,100.10953506556203
241,100.16086756219595
242,100.13568366742464
243,100.13140749448482
244,100.10392688058616
245,100.12860961158279
246,100.13300898428561
247,100.16816119296374
248,100.10146610896143
249,100.11653801480874
250,100.1151585715427
251,100.10681211912032
252,100.09658133822354
253,100.12032297199465
254,100.09978079272543
255,100.08197032534096
256,100.08024620236498
257,100.05990264472413
258,100.07599267480303
259,100.07711524001445
260,100.05019886073615
261,100.06542227345334
262,100.05585806311579
263,100.05061610067521
264,100.03707235274801
265,100.06049195544132
266,100.0577498427605
267,100.0866174783999
268,100.05340111062523
269,100.10221556968474
270,100.08176723961864
271,100.08419138839415
272,100.0628179924086
273,100.0958202540574
274,100.09537966102695
275,100.10959820244929
276,100.09112013385388
277,100.10666760982967
278,100.11655196642121
279,100.11568864984723
280,100.0962119038628
281,100.10862616232347
282,100.10982273281273
283,100.10496665190014
284,100.08663632440627
285,100.1130676596566
286,100.10735379508002
287,100.07884242560414
288,100.06614781782422
289,100.09033065565355
290,100.09986251482657
291,100.10697260997432
292,100.10481186040272
293,100.11202620248787
294,100.13554996393967
295,100.14437758732169
296,100.13439306392009
297,100.13792856395258
298,100.14855536844715
299,100.14859453182862
300,100.14992882932918
301,100.1597546802173
302,100.16405898859745
303,100.16218661092857
304,100.14521524271737
305,100.14791658333976
306,100.15919896296272
307,100.1588536433754
308,100.14563014521312
309,100.15580174491508
310,100.1597271039939
311,100.15398179683811
312,100.14321231040952
313,100.14133166939105
314,100.16072593660361
315,100.1544709404939
316,100.13404925931333
317,100.14136047426295
318,100.15357960118327
319,100.15486980018214
320,100.14409077369389
321,100.16216558951399
322,100.15165451574913
323,100.17207326555355
324,100.1517738047255
325,100.17307591746626
326,100.17454083030646
327,100.1798858210732
328,100.16648897510134
329,100.17462914444188
330,100.18035466730008
331,100.18202076132016
332,100.17039490485864
333,100.18141723830004
334,100.17859638330071
335,100.18254628352106
336,100.1697470718283
337,100.1770767452362
338,100.18336677317672
339,100.18644736309831
340,100.17406792301317
341,100.17661413766977
342,100.19832146326758
343,100.19027237352972
344,100.17825699492927
345,100.19930487567481
346,100.20075287829054
347,100.20229212988824
348,100.19138929117955
349,100.20906342838768
350,100.21601628162297
351,100.2264181092855
352,100.2135739794754
353,100.21557207960508
354,100.23345804096337
355,100.23043149506917
356,100.21815033609079
357,100.22647678526762
358,100.23261954474467
359,100.22989544062038
360,100.20227363802864
361,100.227079140589
362,100.21260328335008
363,100.20977603178721
364,100.18696226374796
365,100.20073350095596
366,100.20577067836102
367,100.19572745082469
368,100.18550603906844
369,100.18309290258108
370,100.19561494063292
371,100.18530300036423
372,100.17239802982947
373,100.17301221624001
374,100.17224860479348
375,100.17500954640336
376,100.1444733833404
377,100.15636223227133
378,100.16057154594593
379,100.16657579920548
380,100.13984973894263
381,100.14822389268205
382,100.14561213148149
383,100.1383017085512
384,100.12809638695967
385,100.12212159054839
386,100.1497188613414
387,100.13934713372912
388,100.12285488147349
389,100.12214154213548
390,100.12202514932444
391,100.1111006093081
392,100.0792425973456
393,100.091839191129
394,100.08475447467181
395,100.08226530982411
396,100.06513208753834
397,100.07232221574392
398,100.07625551315029
399,100.06328521984854
400,100.02188741514502
401,100.03445019536296
402,100.03305639655908
403,100.03121821243069
404,100.01198974424375
405,100.01374130839824
406,100.02903383940017
407,100.01101829841625
408,100.00554007054888
409,100.01699013905024
410,100.03618853503811
411,100.04264422995615
412,100.02639048622503
413,100.05316721918038
414,100.05922582444035
415,100.06481708030533
416,100.05720247440308
417,100.0682433912453
418,100.0697854196007
419,100.06857539394922
420,100.05424405114287
421,100.05487325364072
422,100.05512902492553
423,100.05291960062117
424,100.04725052417493
425,100.05259836917149
426,100.04086209251635
427,100.0551557051196
428,100.03295045089708
429,100.03856917314114
430,100.05218812102513
431,100.04852439140636
432,100.04363305114882
433,100.03096389058744
434,100.0569339119263
435,100.05226360560636
436,100.04548545803418
437,100.0417539993952
438,100.04031772534962
439,100.02907102333941
440,100.0277581762148
441,100.01743250003159
442,100.01975207524976
443,100.03685544850863
444,100.01164079940364
445,100.03262905548137
446,100.04743779062305
447,100.0378432360954
448,100.03111793406582
449,100.02631454503695
450,100.04009405140476
451,100.04299687499575
452,100.01629401473706
453,100.0320499104414
454,100.02032502320817
455,100.01570701857558
456,100.01628316303903
457,100.05919565898206
458,100.03121983602502
459,100.03075484791398
460,100.04862523756302
461,100.02150779868289
462,100.06854688598403
463,100.06134953907541
464,100.0595684181214
465,100.08522159734558
466,100.09871063887427
467,100.09288417252466
468,100.0621407207739
469,100.09714832454719
470,100.10529690694862
471,100.08572847648395
472,100.05998796262526
473,100.0879052138372
474,100.09229519172617
475,100.08831767715343
476,100.0613247475566
477,100.07796036302805
478,100.08581715559491
479,100.07613776747353
480,100.07472550208772
481,100.08205211097987
482,100.11311737211729
483,100.11178461591227
484,100.10284289602258
485,100.10342828922556
486,100.12348884756256
487,100.10430154366546
488,100.09540302854924
489,100.09759997404423
490,100.09137673497256
491,100.09911126988695
492,100.10257105486129
493,100.11134217404754
494,100.10554275913661
495,100.10448074739648
496,100.06777383232675
497,100.0875802437258
498,100.10053841051071
499,100.09345470978265
500,100.07515669969156
501,100.0813241811038
502,100.08914840825787
503,100.09626814000084
504,100.07577696460663
505,100.06829328598032
506,100.04772809571114
507,100.05637445540033
508,100.05825532941333
509,100.03770202821859
510,100.027934157114
511,100.0319357945284
512,100.0221439258251
513,100.03814169292004
514,100.04899425420865
515,100.04196057853711
516,100.02600076255705
