,angle
0,70.29905325146404
1,70.32011462231955
2,70.3100519677343
3,70.30421267557568
4,70.307595816515
5,70.32484195487054
6,70.32973274464662
7,70.31568527169108
8,70.31763299566133
9,70.34628673559011
10,70.34527075811046
11,70.3331449243961
12,70.34051506411465
13,70.3259846133282
14,70.35371625164046
15,70.34114614046555
16,70.34132555203388
17,70.35791320761986
18,70.3709720038189
19,70.3486900380782
20,70.31950774348257
21,70.35192003608174
22,70.34622633022951
23,70.3372657233264
24,70.33527653971957
25,70.34161016140494
26,70.3602128588166
27,70.32439127638686
28,70.34291047184203
29,70.36153108677105
30,70.36031848405165
31,70.3474356441676
32,70.35320515732491
33,70.36573239467633
34,70.37443126208558
35,70.36649466155241
36,70.36628459778319
37,70.37645016542446
38,70.37109884726081
39,70.36111115840926
40,70.35577406086642
41,70.36603036031894
42,70.36909603247311
43,70.36575826169039
44,70.36300204781064
45,70.36989039736899
46,70.38414352825885
47,70.36680679185606
48,70.36851312686956
49,70.37732916231745
50,70.38791127479166
51,70.37478417509081
52,70.38231337145962
53,70.38454977753314
54,70.38668591842995
55,70.39274148793311
56,70.39670949548821
57,70.40143455780664
58,70.39652086955599
59,70.37926990355184
60,70.37593163294851
61,70.39232174413485
62,70.39114886845834
63,70.35060802905925
64,70.37747721437448
65,70.39258588047535
66,70.39394240630602
67,70.35751618492158
68,70.35862446521445
69,70.39292525684606
70,70.38032991416148
71,70.36915461676881
72,70.37909670564142
73,70.41059276160541
74,70.39269864296519
75,70.38817206696092
76,70.3831200084992
77,70.41379269747986
78,70.41798912932872
79,70.4077997298103
80,70.40812311505304
81,70.42066692008959
82,70.42235085545296
83,70.39049156964944
84,70.41447454930604
85,70.42084131712879
86,70.4127946013232
87,70.40812409323372
88,70.41765643487301
89,70.42266797120239
90,70.42471299710613
91,70.42080577530957
92,70.42086949119083
93,70.43602818490467
94,70.43904769697718
95,70.43398256900377
96,70.44213663008667
97,70.43809678538216
98,70.44113395398216
99,70.43691573024586
100,70.44149390690795
101,70.44994372314937
102,70.451032033532
103,70.44944447833238
104,70.45059621773541
105,70.46600292855709
106,70.46627334431571
107,70.45350830474698
108,70.45407719201948
109,70.4745593258864
110,70.4843112966816
111,70.48099424111047
112,70.49009983067295
113,70.49691188073407
114,70.50250790310338
115,70.50446318810693
116,70.50392332324851
117,70.51748492762698
118,70.52060409222973
119,70.51560586708483
120,70.5177023806166
121,70.52899459720177
122,70.53325567428999
123,70.52600306329579
124,70.52874416597365
125,70.54097150941844
126,70.5428713950155
127,70.52638487871762
128,70.53202627418271
129,70.53971383038906
130,70.54872043519568
131,70.53430490377465
132,70.53737255783075
133,70.54906698784042
134,70.55299216059623
135,70.53850963908761
136,70.53803080284537
137,70.55621129551928
138,70.54983908004152
139,70.53910344294191
140,70.54862018332337
141,70.54689509627646
142,70.54838637515897
143,70.53988620507103
144,70.5269064557466
145,70.53939777987097
146,70.54142656560118
147,70.51944314776159
148,70.5252548627878
149,70.53187171568092
150,70.52477190425095
151,70.51466018763976
152,70.50686307144647
153,70.52894263048756
154,70.52046603178617
155,70.51671550053081
156,70.51039771657601
157,70.52508793330878
158,70.5242478494187
159,70.51225865436172
160,70.52353147304456
161,70.52605814720422
162,70.5203207629227
163,70.50430467549674
164,70.50113817030446
165,70.51888092632078
166,70.51998685114924
167,70.49986961830389
168,70.4939659236973
169,70.49868260064078
170,70.5056489904928
171,70.49052512705725
172,70.48717956512803
173,70.49455125663475
174,70.4981829965729
175,70.48735310897985
176,70.49242678608209
177,70.50526385904921
178,70.50564845357734
179,70.49823841315931
180,70.49457199622235
181,70.50325707950792
182,70.50231519128617
183,70.4919445122019
184,70.49541714627262
185,70.4993848884919
186,70.49784482284218
187,70.48095291755412
188,70.48143603514549
189,70.49429704947242
190,70.49399422025124
191,70.4810382562362
192,70.48889951295845
193,70.49504068279334
194,70.49607233099216
195,70.48226122962645
196,70.48327227430887
197,70.49077035902395
198,70.48519534101278
199,70.47718841841575
200,70.47725517771597
201,70.4891918651032
202,70.4830587251739
203,70.47214805744383
204,70.47012628358318
205,70.4809266528768
206,70.47756745650142
207,70.46338361643048
208,70.46764033539692
209,70.475599940343
210,70.47626758654802
211,70.46911540632011
212,70.46801840346433
213,70.4787411222189
214,70.47504821988571
215,70.47020125213912
216,70.47474523361089
217,70.47504307068436
218,70.4825891035612
219,70.46608400828269
220,70.4659687784365
221,70.47862408063611
222,70.47490257874723
223,70.46047569658624
224,70.4620772062706
225,70.4689662644915
226,70.47474482080474
227,70.46178598300042
228,70.45944811449982
229,70.4730133929164
230,70.47529543208351
231,70.46366274729873
232,70.47011503974052
233,70.47637739249917
234,70.47837518103195
235,70.46911410072347
236,70.47065513312563
237,70.48652862050447
238,70.48274972206067
239,70.47342728240062
240,70.47882684117931
241,70.48984244282298
242,70.48967524895494
243,70.48112938880338
244,70.48551902977916
245,70.49017871663959
246,70.49461941075539
247,70.47965864866481
248,70.47805051531456
249,70.49080486035672
250,70.49247069802811
251,70.47966515542944
252,70.48434768691796
253,70.49272554013743
254,70.4889311107796
255,70.4768949251391
256,70.47687226466337
257,70.48933666302923
258,70.48677655748297
259,70.46989262028347
260,70.4735141454979
261,70.48413942883052
262,70.47873519503644
263,70.46940209421216
264,70.46870135428115
265,70.47799339577564
266,70.47775075986313
267,70.46461320295045
268,70.46586752905908
269,70.47167949390277
270,70.46836002016312
271,70.45404850879352
272,70.44622859625318
273,70.46501971402812
274,70.45801180584886
275,70.4542342344393
276,70.44490145411753
277,70.46609004011222
278,70.45516574351149
279,70.44339068287812
280,70.44565700622448
281,70.45553048875878
282,70.45215725610757
283,70.43947050813685
284,70.43958800169864
285,70.45630960291955
286,70.44846364705634
287,70.43452017072711
288,70.43571133247605
289,70.44030672373853
290,70.4375962438195
291,70.43358605946192
292,70.4290770846428
293,70.43112249783323
294,70.42986116009675
295,70.42955131785965
296,70.42626973971436
297,70.42669952517215
298,70.42758385719854
299,70.41954513641356
300,70.41984086658255
301,70.43383963071807
302,70.42894711947152
303,70.41733988171319
304,70.42106567043534
305,70.43284355147202
306,70.43082169334517
307,70.41124377173126
308,70.41477335123437
309,70.42506641684136
310,70.42598275543459
311,70.40379747286934
312,70.4067733591847
313,70.41721823791755
314,70.42129289922126
315,70.4032073995117
316,70.39973450653665
317,70.4134084568345
318,70.42111768361754
319,70.40149605343647
320,70.4074021619866
321,70.41364044248698
322,70.41588519096257
323,70.40110484387918
324,70.40616269549402
325,70.40866300101302
326,70.40998625262685
327,70.39670467960532
328,70.39966714577928
329,70.41074256251427
330,70.40209089041896
331,70.39527903644674
332,70.39232666688105
333,70.40878464045639
334,70.40677655098293
335,70.38912912510888
336,70.39330596725482
337,70.40524670446158
338,70.40558422072026
339,70.39410791227131
340,70.39653939109029
341,70.40555451435118
342,70.41273702586138
343,70.39539796729782
344,70.39837802140806
345,70.4076117541596
346,70.40922668892927
347,70.39898310236116
348,70.3979687274448
349,70.40967479363532
350,70.41345334215207
351,70.400660514864
352,70.40224020536326
353,70.41199893249988
354,70.41215916564252
355,70.39786732847264
356,70.39884917200968
357,70.41780299406133
358,70.41794343713272
359,70.40439691013124
360,70.403946723382
361,70.41680763705436
362,70.41886515661216
363,70.40814485567694
364,70.40716919703382
365,70.4185568474345
366,70.41462897422446
367,70.40452468869161
368,70.40516652535354
369,70.41937335713817
370,70.40954443031369
371,70.39628561483887
372,70.40260000584006
373,70.41639001916708
374,70.41512276167033
375,70.39519147033448
376,70.40288589304396
377,70.42107451619454
378,70.40696433617734
379,70.38752730164967
380,70.39780346622183
381,70.41251527927109
382,70.41702190222247
383,70.39447015748905
384,70.39639916414498
385,70.4055484415792
386,70.40869744837264
387,70.39017103764218
388,70.3847405634294
389,70.40323342231699
390,70.40389950422323
391,70.3924707968629
392,70.39225546849755
393,70.40477064684984
394,70.40382310945375
395,70.39012027136083
396,70.38222824320614
397,70.39380782088037
398,70.39561611239118
399,70.38573910290731
400,70.38120240797461
401,70.40175073602614
402,70.407885252551
403,70.3959834387895
404,70.40312434564835
405,70.4118350396048
406,70.41882239612782
407,70.39429463611671
408,70.4154735413536
409,70.42161722616099
410,70.41383551603928
411,70.39799037506067
412,70.38632196984953
413,70.41052539309348
414,70.40953568036764
415,70.40852020880938
416,70.41105476690223
417,70.42059830650597
418,70.43146086553323
419,70.4155071573921
420,70.41467291252603
421,70.43528425407231
422,70.44066196952005
423,70.41742502498131
424,70.42998396658962
425,70.44350819540962
426,70.44633026785645
427,70.43759587878812
428,70.43977035366112
429,70.4649982777292
430,70.46459125510646
431,70.44678098964049
432,70.4462737767943
433,70.46603716783814
434,70.4611604113418
435,70.45833867878373
436,70.45900933193762
437,70.4715042905794
438,70.47085551190118
439,70.46813904800783
440,70.47492472588632
441,70.48619712851351
442,70.49017710941173
443,70.48307272843047
444,70.49093193826882
445,70.5034553392931
446,70.50752025056808
447,70.50800770786076
448,70.50813938767172
449,70.51776888304995
450,70.51806708438005
451,70.50895325258202
452,70.50959768329172
453,70.5238398343308
454,70.52317698476956
455,70.51337964609563
456,70.51854835192783
457,70.5326286262554
458,70.53571902839103
459,70.52779537410385
460,70.53198557190034
461,70.54954019790932
462,70.547925999588
463,70.53809463142858
464,70.53901469605378
465,70.55013573949451
466,70.55524104395786
467,70.54394004542564
468,70.54813208767655
469,70.56025530423204
470,70.56522268669744
471,70.56117752290886
472,70.558412547117
473,70.58027160671887
474,70.58127594724951
475,70.57360386564231
476,70.57613320145897
477,70.5913457275925
478,70.59683122412633
479,70.58607363363716
480,70.59295938317742
481,70.60020378918607
482,70.6026028393764
483,70.59860569487424
