,angle
0,130.65367373431062
1,130.6489755657002
2,130.66107532138523
3,130.67745266806813
4,130.66851132514958
5,130.65842395670137
6,130.6707741255816
7,130.66425160930547
8,130.66378906388945
9,130.6526736878859
10,130.67581452320994
11,130.67423500558638
12,130.66267106854704
13,130.6447978648273
14,130.66515915807813
15,130.6542092426625
16,130.65265110459117
17,130.63616390586458
18,130.65097743965563
19,130.66851559422693
20,130.670071207197
21,130.66724825879155
22,130.69166863800058
23,130.68331847779575
24,130.6904087197922
25,130.6685821570825
26,130.6791590395161
27,130.67408952371682
28,130.66289973547657
29,130.65222607991157
30,130.65828699142378
31,130.67064913390428
32,130.6691300919182
33,130.64926035019403
34,130.67910324847642
35,130.67138974216633
36,130.66980302339937
37,130.6598668915256
38,130.66850370799725
39,130.66658020390855
40,130.66819301954826
41,130.6510123691218
42,130.67416617268418
43,130.66696439149266
44,130.67281779168184
45,130.66854128836502
46,130.68364757686308
47,130.6720184119646
48,130.66420102117058
49,130.63259580015526
50,130.63164314361117
51,130.62655728762394
52,130.6277301200438
53,130.64668696514937
54,130.63385172499991
55,130.64216924933925
56,130.6640647735408
57,130.64881609070721
58,130.66184075775405
59,130.66321741041435
60,130.6594135776151
61,130.6499065081128
62,130.6756123871237
63,130.67278286686806
64,130.66215061325076
65,130.65178241289414
66,130.65582873575553
67,130.65748105283217
68,130.64262932775415
69,130.6421338657359
70,130.64215172689705
71,130.6399648465021
72,130.64624498159807
73,130.61991962832928
74,130.62986783829234
75,130.6351522907181
76,130.61290299892673
77,130.59478182516537
78,130.58684725507186
79,130.6113853584427
80,130.58305333614712
81,130.53946361584974
82,130.5561982223001
83,130.54972362217202
84,130.52578912737624
85,130.5220912675128
86,130.53118417560555
87,130.51503256609018
88,130.53451376178228
89,130.51262625527866
90,130.5237375506575
91,130.52500412962448
92,130.52954196341594
93,130.52535909212642
94,130.53385601084705
95,130.5382414569955
96,130.54511300643702
97,130.54152238813947
98,130.5397237507711
99,130.55511112340398
100,130.53515391806005
101,130.54381268550574
102,130.55975737973932
103,130.5615667368517
104,130.56480202144235
105,130.5540353209129
106,130.55387723471804
107,130.56227256967924
108,130.56446449792932
109,130.55832706190273
110,130.55056951337724
111,130.56066254257487
112,130.5444045901252
113,130.53953079465674
114,130.53481806118788
115,130.52976410845184
116,130.51543324644183
117,130.503879698427
118,130.50800396616847
119,130.48645227954356
120,130.49022682026154
121,130.46317694932742
122,130.46298496203613
123,130.45930082358979
124,130.44270106884525
125,130.4316404254908
126,130.42633029079173
127,130.4086502077408
128,130.4107469363232
129,130.4114148956773
130,130.40378149087306
131,130.4065361993154
132,130.38957247453084
133,130.36800550732613
134,130.39025608721713
135,130.38668265380733
136,130.3905783168208
137,130.3953817209274
138,130.39135594169386
139,130.39780584652243
140,130.378943030559
141,130.37345262044371
142,130.39572942523273
143,130.38520042618455
144,130.3848389529741
145,130.3682180499716
146,130.40132947712692
147,130.39624603389146
148,130.4047423106089
149,130.39704359688903
150,130.3958936788678
151,130.39879185553366
152,130.4037857365854
153,130.39509605971514
154,130.40595973524444
155,130.40900500370404
156,130.42092037642362
157,130.38965152467196
158,130.42291832398038
159,130.42186952891308
160,130.4108714771829
161,130.41721677539257
162,130.41780639744954
163,130.42723829120487
164,130.4135167263991
165,130.40509775143994
166,130.41626747174146
167,130.42466290341966
168,130.42326129526694
169,130.4276536459656
170,130.42886824919668
171,130.4356928269825
172,130.43078918879806
173,130.42971918785753
174,130.43484034373128
175,130.42452069574844
176,130.4306135052805
177,130.41468540048393
178,130.42630941034562
179,130.41792385752382
180,130.4256777742572
181,130.41443358041516
182,130.4063991628994
183,130.4140374205266
184,130.41996753661442
185,130.40557999133972
186,130.39641319422313
187,130.4112348086215
188,130.40714848496154
189,130.40451159139278
190,130.4140137961998
191,130.41924076011182
192,130.4214902042772
193,130.39637169740698
194,130.4091098636176
195,130.4135264957566
196,130.4228495825377
197,130.38978333823405
198,130.402535863496
199,130.38765841290237
200,130.38746370053502
201,130.38992971141124
202,130.38440359543216
203,130.38633104158268
204,130.3915199842846
205,130.37833976456193
206,130.40112053048196
207,130.40883608724045
208,130.42555377810288
209,130.39698693251256
210,130.41035976384484
211,130.38577261899664
212,130.44127960278342
213,130.37107552361297
214,130.42151595074145
215,130.43836893605769
216,130.39666397544707
217,130.41262240374624
218,130.41352889905693
219,130.38618282593788
220,130.42321535073597
221,130.38282703873034
222,130.41470235106053
223,130.41687828938487
224,130.4259539025905
225,130.39280668567665
226,130.4404941604125
227,130.44739375959546
228,130.4319795267268
229,130.42842463943055
230,130.43301804182673
231,130.44885453958946
232,130.44660712572136
233,130.41972809023665
234,130.4387364446663
235,130.4293572786941
236,130.42170909427378
237,130.40053321273027
238,130.41546793863017
239,130.41402174136365
240,130.3999283246856
241,130.39981232060748
242,130.39941381263225
243,130.41711876235186
244,130.41685460624186
245,130.4117622940632
246,130.43183590924627
247,130.43879005350436
248,130.43756076795097
249,130.43810871445635
250,130.43335593442833
251,130.45607026595266
252,130.45491448982284
253,130.42071995457152
254,130.4650151429627
255,130.4630804008648
256,130.46060125754775
257,130.414958335509
258,130.4265461440657
259,130.43306610915886
260,130.4196420094511
261,130.40762143619506
262,130.42125592416477
263,130.3960086812649
264,130.40664037353685
265,130.38304706847475
266,130.41602413837182
267,130.42742878684402
268,130.41707574505287
269,130.3859195036113
270,130.3741990019867
271,130.36851531012607
272,130.34639578084358
273,130.33636756867494
274,130.3185313930884
275,130.28109720373462
276,130.25566025357955
277,130.2327336972663
278,130.20505277148928
279,130.22692044964643
280,130.23619663224486
281,130.21111260796806
282,130.2343338461947
283,130.23384660381637
284,130.22709136777166
285,130.2153358955325
286,130.22783915518625
287,130.2260926387403
288,130.2307375773325
289,130.2385318543745
290,130.20995952120006
291,130.23141449542544
292,130.22894044984753
293,130.2017656900561
294,130.25116111729642
295,130.23922723174192
296,130.23735274437482
297,130.23612579162233
298,130.2557382356056
299,130.25122845838737
300,130.2465551421768
301,130.25523872482088
302,130.25779932106508
303,130.26759875171425
304,130.2502766357006
305,130.24164520040347
306,130.24546657073623
307,130.2479570484692
308,130.2409985526093
309,130.2299479248975
310,130.23646978635796
311,130.24667725653399
312,130.2438256457973
313,130.231685622334
314,130.23008869220317
315,130.2409462071553
316,130.22362778588
317,130.2275526651259
318,130.2315117233742
319,130.2277284259062
320,130.22308487224907
321,130.2315849801387
322,130.22974033968336
323,130.23621317223538
324,130.21726518189067
325,130.21664409664368
326,130.2232829025978
327,130.23777726620312
328,130.23562236908631
329,130.23010948903752
330,130.22015473218528
331,130.22050504549284
332,130.22860486798524
333,130.21933150502787
334,130.2275665967157
335,130.24050720015958
336,130.23362189688342
337,130.23315751263024
338,130.23254733213977
339,130.24650172978178
340,130.24037115545138
341,130.23397336015645
342,130.24979389557672
343,130.2406939253955
344,130.24657314259818
345,130.23229250570625
346,130.23533814891164
347,130.2448408813031
348,130.2407527963416
349,130.23472048106527
350,130.22935491223672
351,130.22822784459495
352,130.23498476681647
353,130.2294852039551
354,130.22810840141108
355,130.22547487960705
356,130.22270580391321
357,130.21809543689443
358,130.23517112538045
359,130.23952233972
360,130.23549613113389
361,130.23398187694153
362,130.22929457088344
363,130.2324481896891
364,130.23405224854636
365,130.21653957366698
366,130.22410554704504
367,130.22895803460543
368,130.21217687556506
369,130.2127230586675
370,130.2266754862357
371,130.23327120376885
372,130.22958934142733
373,130.2218859284062
374,130.2444771854346
375,130.24210394413402
376,130.24092170999518
377,130.22811091560746
378,130.23038971753184
379,130.2267056371708
380,130.23012946681973
381,130.22352893007215
382,130.2263241217013
383,130.22628039111171
384,130.22591718020732
385,130.22088323790592
386,130.22341224228634
387,130.240880123705
388,130.22747760248632
389,130.2219985465959
390,130.22137945132496
391,130.23230973215706
392,130.2141303421438
393,130.2116308992935
394,130.2206775299383
395,130.20950408071047
396,130.2223050316235
