,angle
0,114.42962808082612
1,114.44493212268124
2,114.41331391044851
3,114.42179767641797
4,114.42327188959409
5,114.43423384384587
6,114.42239449738297
7,114.41449122107534
8,114.43103279882753
9,114.42876030984836
10,114.42372303771161
11,114.43036274625337
12,114.42799529184619
13,114.43488307071746
14,114.41853614126127
15,114.4218402667678
16,114.42073323067603
17,114.42234834811549
18,114.41500578634117
19,114.43940282658073
20,114.4353908809895
21,114.44099996293374
22,114.43297445467569
23,114.43536163128209
24,114.42728967283922
25,114.42966547800431
26,114.43072182544655
27,114.43009308755822
28,114.42097822989297
29,114.4220414929873
30,114.4084124968332
31,114.42186308915228
32,114.42717311217032
33,114.4179961580304
34,114.41566020359468
35,114.42169007639438
36,114.43020063901164
37,114.42376560370765
38,114.42415837014791
39,114.4354729126512
40,114.43294728363396
41,114.42966027952127
42,114.4323108459566
43,114.44219678954842
44,114.4241697886509
45,114.42146033833777
46,114.40467621268644
47,114.43277569724592
48,114.42690310740798
49,114.46549443177996
50,114.4209814552435
51,114.45795714701788
52,114.4339325195969
53,114.46023949187621
54,114.4224923523628
55,114.46631236785277
56,114.4270389160839
57,114.4310085307651
58,114.42308297155768
59,114.42713404051258
60,114.43573463116827
61,114.43171532007128
62,114.45581790827693
63,114.46322503155224
64,114.4635652173933
65,114.46266790324773
66,114.45496591024613
67,114.4645075390663
68,114.46795428383994
69,114.46933299023365
70,114.47153877763388
71,114.48279124057697
72,114.47582711700221
73,114.479080235608
74,114.47545074918811
75,114.48901322661202
76,114.4878017113183
77,114.48859771648063
78,114.46804024384558
79,114.478267019453
80,114.48168462834728
81,114.48776913648076
82,114.4858078672976
83,114.48320476772388
84,114.50296768976617
85,114.49147061327567
86,114.48711633429232
87,114.49110702382832
88,114.50498573020121
89,114.49871904519324
90,114.49449794453743
91,114.49569089383765
92,114.50530157459019
93,114.48689697296747
94,114.49952214825956
95,114.50027726547943
96,114.49071304180409
97,114.490382752449
98,114.47586334288607
99,114.51048145213475
100,114.51099339091806
101,114.50330624137389
102,114.51375474101697
103,114.51276377868618
104,114.52798740452546
105,114.51612903618641
106,114.50783916023846
107,114.53837081335041
108,114.52782309607416
109,114.50928932521354
110,114.49172176222103
111,114.50395648448954
112,114.49090003552946
113,114.49292599115442
114,114.4998908708927
115,114.50084001916568
116,114.49751114357342
117,114.49376279224113
118,114.50046084327559
119,114.48562564539989
120,114.48646861551661
121,114.48635464409746
122,114.47280207762282
