,angle
0,131.21870128025859
1,131.21051832646037
2,131.20733320587806
3,131.20225243605523
4,131.18719870994317
5,131.1738971170387
6,131.16684590975638
7,131.16024841602865
8,131.13653977050862
9,131.1237705867787
10,131.11863463570273
11,131.1099985799637
12,131.11299383331033
13,131.10611425746131
14,131.1131659654291
15,131.10720740045855
16,131.09329424248796
17,131.07649248515642
18,131.06538422983502
19,131.04018828724278
20,131.00924214514467
21,130.98400945491625
22,130.9743436389621
23,130.9524026321023
24,130.94432980673798
25,130.94166324565882
26,130.94687590994988
27,130.95976557510656
28,130.95707123023902
29,130.96791379979223
30,130.96827473868234
31,130.9863088015324
32,130.97657382296507
33,130.9829505873176
34,130.9885931358896
35,130.98056289229206
36,130.9540467043818
37,130.94506980018502
38,130.92616564542809
39,130.91499605534392
40,130.8994524346749
41,130.87988369153905
42,130.8786641874541
43,130.87373827538462
44,130.86706850897863
45,130.85783992199043
46,130.87607136751777
47,130.87507099108979
48,130.88661144352045
49,130.89224730452895
50,130.9104610430561
51,130.91249117993377
52,130.9180758845225
53,130.90856645716866
54,130.9159439700592
55,130.91710353378434
56,130.91092160575087
57,130.92241656593728
58,130.93783376603292
59,130.94145265218626
60,130.93914990536945
61,130.93626614132276
62,130.94637998639183
63,130.95900056014335
64,130.97228623901668
65,130.97867435893647
66,130.99233905486633
67,130.98646700472858
68,130.98352915477744
69,130.98327923966238
70,130.9848399879083
71,130.9878372322949
72,130.97965358092407
73,130.97979236428938
74,130.99424574783907
75,130.99957034750818
76,130.99069852249963
77,130.98724255381725
78,130.9905941140588
79,130.98353155312157
80,130.9738090423591
81,130.96696969951597
82,130.96538755133992
83,130.95584399960666
84,130.949289946717
85,130.94923254896838
86,130.94950988532335
87,130.94051827060008
88,130.92661622767585
89,130.9212749581437
90,130.9246104908794
91,130.90036540819386
92,130.87484199009594
93,130.8539207008167
94,130.84534908348454
95,130.8496133675225
96,130.83451382586495
97,130.8340728020062
98,130.83329905122824
99,130.8215603101379
