,angle
0,145.40995329204267
1,145.38810034282088
2,145.4090039909712
3,145.41346141254687
4,145.4181650129361
5,145.39484651065737
6,145.40556863256174
7,145.4051026617199
8,145.4034796858578
9,145.38848262716823
10,145.3899189287211
11,145.39828934328204
12,145.4127150828036
13,145.38334735609791
14,145.39616682099233
15,145.40559842329128
16,145.39101314437895
17,145.3761071081385
18,145.3701661075607
19,145.35793699923542
20,145.34335979431881
21,145.31147595943105
22,145.29354431105742
23,145.2936459880389
24,145.2823293586945
25,145.25437221583107
26,145.2526357427863
27,145.24437366547485
28,145.2357273533389
29,145.20504271432836
30,145.2056172774151
31,145.204962396702
32,145.1991714349381
33,145.18521402338777
34,145.1931405949356
35,145.19576454334995
36,145.18372515577013
37,145.1530327769675
38,145.16173249932922
39,145.15263375846894
40,145.14803953444883
41,145.11873567097356
42,145.11516364747106
43,145.1153821152764
44,145.1049877499257
45,145.07187357051146
46,145.07188739165144
47,145.06863746473596
48,145.06228555528176
49,145.04031139557512
50,145.0306036586038
51,145.0269907185181
52,145.02464624160632
53,145.0029019871399
54,144.99828994108026
55,145.00153175437248
56,144.99484869385924
57,144.96840475397482
58,144.96326369852687
59,144.96121269395258
60,144.95738135025587
61,144.93308140016137
62,144.93961868352122
63,144.93993452849233
64,144.93792825512656
65,144.92545518451152
66,144.931054765176
67,144.94431322209812
68,144.946101944804
69,144.92863785364085
70,144.93150484541036
71,144.93844336661476
72,144.93361195143544
73,144.90855691415996
74,144.9209850548216
75,144.91925398689006
76,144.9052798159141
77,144.87982556091814
78,144.88161379066975
79,144.88252974329697
80,144.8817787540191
81,144.8651166873006
82,144.87391049720296
83,144.87630119175503
84,144.87487017322218
85,144.85801338137463
86,144.86470941059082
87,144.87128660201054
88,144.87618975944102
89,144.86389688524457
90,144.87223391229696
91,144.88156360421794
92,144.88353054494735
93,144.86295225528514
94,144.8632419836874
95,144.8723397481339
96,144.8602687424706
97,144.84058599349132
98,144.83881764676602
99,144.8397829544182
100,144.84085491093336
101,144.8177755264445
102,144.82390998295736
103,144.83191369629805
104,144.83243483060505
105,144.80287746219713
106,144.81190752666518
107,144.81472537458274
108,144.80766215920514
109,144.79918713149618
110,144.79174811145376
111,144.80402714646567
112,144.80480275665946
113,144.77157463603393
114,144.7699128529549
115,144.77001669708883
116,144.74355390841544
117,144.71952684924167
118,144.71494898054075
119,144.7167340698061
120,144.71851169586463
121,144.68578382298887
122,144.70164230441034
123,144.70763741897503
124,144.71809559316202
125,144.7020122106004
126,144.71228826703407
127,144.7253707943579
128,144.73065567701556
129,144.71366486224375
130,144.72657278078808
131,144.73410006679006
132,144.73142600670815
133,144.7178335094976
134,144.72695155962967
135,144.7379031341164
136,144.73727135628445
137,144.72189361553524
138,144.7270303051176
139,144.73107282110442
140,144.72570737435822
141,144.71212732516776
142,144.71317212163666
143,144.71847045149644
144,144.70992509241196
145,144.69220629131954
146,144.69965950769156
147,144.70662940109904
148,144.7086898432653
149,144.69092810602916
150,144.69645630750927
151,144.7028517741702
152,144.69166518095147
153,144.67180252058424
154,144.6758709778637
155,144.68617667347928
156,144.67303616656469
157,144.6535359018969
158,144.66813906345516
159,144.66537644607817
160,144.66574933521832
161,144.65022638378693
162,144.65352103819473
163,144.66377727138055
164,144.66293542549323
165,144.64335611581402
166,144.6567178750471
167,144.65811783213016
168,144.65559870967778
169,144.63744018641287
170,144.6370916854385
171,144.63713398743351
172,144.62265107041867
173,144.595176699798
174,144.59776984791395
175,144.59385220729501
176,144.59399199650397
177,144.57431287702045
178,144.5810064384292
179,144.57530536235433
180,144.56986814767592
181,144.54645005153714
182,144.55287257923152
183,144.56123430804595
184,144.5527984387249
185,144.5316517765043
186,144.52959852838902
187,144.5245969186421
188,144.5286868362257
189,144.49714798603173
190,144.5127117781152
191,144.51058216404854
192,144.5058699443988
193,144.49062825985325
194,144.49317904035104
195,144.49744517134658
196,144.49988286906247
197,144.48131761986713
198,144.4931422970679
199,144.49771910135803
200,144.49037309850237
201,144.4715099066585
202,144.47940852314514
203,144.46919426968108
204,144.46219644393287
205,144.439202981691
206,144.43722273993222
207,144.44529586736226
208,144.44401577673085
209,144.4205532031627
210,144.4189712452118
211,144.42476691740643
212,144.42420717570587
213,144.4119945708463
214,144.42297517163362
215,144.43573706607808
216,144.4360888480676
217,144.41401195458255
218,144.41624261304275
219,144.42615649698044
220,144.4146861486579
221,144.38599059163
222,144.38326309884624
223,144.3794592236912
224,144.3669726970917
225,144.3384369427157
226,144.34226995297095
227,144.34751215387834
228,144.34335876139724
229,144.3202579725154
230,144.32616997127244
231,144.32556400831587
232,144.32775860077572
233,144.32113421484968
234,144.32905257811933
235,144.3320551785772
236,144.34202693128154
237,144.30823123438336
238,144.3231022201087
239,144.32785605361008
240,144.34801819945437
241,144.3336822739716
242,144.35525832538806
243,144.36523789483817
244,144.36543547838514
245,144.33888710348344
246,144.35432592217197
247,144.34283589395426
248,144.3412076394954
249,144.31798743747964
250,144.30837154555513
251,144.31360092682678
252,144.30128347019297
253,144.2948263486661
254,144.295774107585
255,144.29744718748083
256,144.3068801662243
257,144.28739812413633
258,144.2975403988678
259,144.2945578460522
260,144.29272762911748
261,144.27269854459513
262,144.27803395944014
263,144.2848310154817
264,144.27594071471114
265,144.25565611518633
266,144.2536086546954
267,144.24764302987808
268,144.24325820622659
269,144.22503265564012
270,144.2370984817103
271,144.24477931314894
272,144.24659259829983
273,144.22698743020632
274,144.23025803385053
275,144.23391416262427
276,144.2309429719088
277,144.20872549914822
278,144.21371776256044
279,144.2196376883623
280,144.2170823663609
281,144.19436559495273
282,144.19541926672943
283,144.20021278098665
284,144.1971097290381
285,144.17803274824595
286,144.18390596428077
287,144.18783622877868
